ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/01/2023,Adult,Bantry General Hospital,59,41,21,5,126
26/01/2023,Adult,Beaumont Hospital,"3,998","1,515",228,29,"5,771"
26/01/2023,Adult,Cavan General Hospital,406,11,0,0,417
26/01/2023,Adult,Connolly Hospital Blanchardstown,"1,068",133,8,0,"1,209"
26/01/2023,Adult,Coombe Women and Infants University Hospital,138,41,8,2,189
26/01/2023,Adult,Cork University Hospital,830,279,145,247,"1,502"
26/01/2023,Adult,Cork University Maternity Hospital,382,87,18,34,521
26/01/2023,Adult,Croom Orthopaedic Hospital,242,2,0,0,244
26/01/2023,Adult,Ennis Hospital,318,30,4,2,354
26/01/2023,Adult,Galway University Hospitals,"4,626","2,404",795,"1,917","9,743"
26/01/2023,Adult,Kilcreene Regional Orthopaedic Hospital,483,49,4,0,536
26/01/2023,Adult,Letterkenny University Hospital,"1,495",334,198,344,"2,371"
26/01/2023,Adult,Louth County Hospital,391,11,2,0,404
26/01/2023,Adult,Mallow General Hospital,206,19,6,0,231
26/01/2023,Adult,Mater Misericordiae University Hospital,"3,503",984,527,948,"5,963"
26/01/2023,Adult,Mayo University Hospital,521,129,40,91,781
26/01/2023,Adult,Mercy University Hospital,475,156,72,49,753
26/01/2023,Adult,Midland Regional Hospital Mullingar,437,148,64,27,676
26/01/2023,Adult,Midland Regional Hospital Portlaoise,183,88,20,28,319
26/01/2023,Adult,Midland Regional Hospital Tullamore,954,375,49,80,"1,458"
26/01/2023,Adult,Naas General Hospital,160,75,2,2,239
26/01/2023,Adult,National Orthopaedic Hospital Cappagh,"1,479",380,56,22,"1,937"
26/01/2023,Adult,Nenagh Hospital,615,24,0,0,639
26/01/2023,Adult,Our Lady of Lourdes Hospital Drogheda,532,134,0,0,666
26/01/2023,Adult,Our Lady's Hospital Navan,896,88,8,0,992
26/01/2023,Adult,Portiuncula University Hospital,443,141,49,4,638
26/01/2023,Adult,Roscommon University Hospital,463,159,56,65,743
26/01/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,919",630,75,42,"2,666"
